Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment George Sandstraat 2,"1102 AG Amsterdam (Bijlmer Centrum (D,F,H))",1750,Upholstered or furnished,54,2,NGH Real Estate B.V.
Apartment Termini 331,1025 XM Amsterdam (Buikslotermeer),1420,Upholstered,73,3,LIV Residential
Apartment Termini 167,1025 XM Amsterdam (Buikslotermeer),1230,Upholstered,53,2,LIV Residential
Apartment Vrijheidslaan 11 3,1079 KA Amsterdam (Rijnbuurt),2750,Furnished,100,4,Holland Home Management
Apartment Herengracht 369,1016 BB Amsterdam (Grachtengordel-West),3750,²6 rooms1735,133,6,Bloomstone Real Estate
Apartment Termini 41,1025 XM Amsterdam (Buikslotermeer),1210,Shell,53,2,LIV Residential
Apartment Herengracht,1016 BP Amsterdam (Grachtengordel-West),3950,²,169,4,Van Maarschalkerwaart Makelaars
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Tommaso Albinonistraat 164 2 pp,1083 HM Amsterdam (Zuidas),7750,Furnished,177,3,Makelaarskantoor Carla van den Brink
Apartment Nieuwe Jonkerstraat,1011 CM Amsterdam (Nieuwmarkt/Lastage),3250,Furnished,91,4,Hausing
Studio Schaarsbergenstraat 39,1107 JS Amsterdam (Holendrecht/Reigersbos),1200,Furnished,34,1,ViaDaan
Apartment Ridderspoorweg 157,1032 LL Amsterdam (Noordelijke IJ-oevers West),2400,Upholstered or furnished,72,1,Vastgoed Unie Makelaardij
Apartment Scheldestraat,1078 GE Amsterdam (Scheldebuurt),2500,Upholstered,89,4,BrinkBorgh Makelaardij
Apartment Gaaspstraat 25 1,1079 VB Amsterdam (Rijnbuurt),2000,Upholstered,51,3,Oei Housing Amsterdam - Expat Apartments
Apartment Reguliersdwarsstraat 2 III,1017 BM Amsterdam (Grachtengordel-Zuid),1800,Upholstered,55,2,Makelaarshuis Amsterdam - Zaanstad
Apartment Zeelandstraat 60 1,1082 BZ Amsterdam (Buitenveldert-West),2400,Upholstered,110,6,Vastgoed Verhuurmakelaardij
Apartment ms. van Riemsdijkweg 270,1033 RD Amsterdam (Noordelijke IJ-oevers West),1850,Upholstered,62,2,JLG Real Estate
Apartment Entrepothof 100,1019 DL Amsterdam (Oostelijk Havengebied),1850,Upholstered,80,3,Parker & Williams Real Estate Services
Apartment Admiraal De Ruijterweg,1056 GP Amsterdam (Geuzenbuurt),2250,Furnished,70,3,Housing Experts
Apartment Onsenoort,1083 BW Amsterdam (Buitenveldert-Oost),1750,²3 rooms1968,80,3,Makelaar in Amsterdam
Apartment Johannes Verhulststraat,1075 HB Amsterdam (Willemspark),5850,Upholstered,245,9,Hausing
Apartment Rapenburgerstraat,1011 VM Amsterdam (Nieuwmarkt/Lastage),3250,Upholstered,125,4,Interhouse verhuurmakelaars Amsterdam
Apartment Jan van Duivenvoordestraat 119,1067 MT Amsterdam (Geuzenveld),1900,Furnished,95,4,Renthouse Vastgoed
Apartment Van Heenvlietlaan 106,1083 CL Amsterdam (Buitenveldert-Oost),2175,Upholstered,126,4,LIV Residential
Apartment Gustav Mahlerlaan,1082 ME Amsterdam (Zuidas),3950,Furnished,112,3,Eefje Voogd Makelaardij
Apartment Doggersbankstraat 17 3,1055 NW Amsterdam (Landlust),1800,Furnished,56,4,Van Huis Uit Makelaars
